word,context,lemmas,predict_sense_id_elmo,elmo_true
звезда,"Света звезд и яркой в это время года луны вполне было достаточно , чтобы различать во мраке белые камни дорожки .","['свет', 'звезда', 'и', 'яркий', 'в', 'этот', 'время', 'год', 'луна', 'вполне', 'быть', 'достаточный', ',', 'чтобы', 'различать', 'во', 'мрак', 'белый', 'камень', 'дорожка', '.']",10,0
звезда,"Мамонт разжал зубы , крикнул и почудилось , звезды дрогнули на небосклоне и дождем посыпались на землю .","['мамонт', 'разжать', 'зуб', ',', 'крикнуть', 'и', 'почудиться', ',', 'звезда', 'дрогнуть', 'на', 'небосклон', 'и', 'дождь', 'посыпаться', 'на', 'земля', '.']",10,0
звезда,"Лучи звезды вспыхнули , и он почувствовал как на защитные поля обрушилась могучая сила .","['луч', 'звезда', 'вспыхнуть', ',', 'и', 'он', 'почувствовать', 'как', 'на', 'защитный', 'поле', 'обрушиться', 'могучий', 'сила', '.']",10,0
звезда,"Жёлтая и оранжевая звезды составляют центр , а вокруг вращается красный карлик .","['жёлтый', 'и', 'оранжевый', 'звезда', 'составлять', 'центр', ',', 'а', 'вокруг', 'вращаться', 'красный', 'карлик', '.']",10,0
звезда,Первые звезды зажглись на небе .,"['первый', 'звезда', 'зажечься', 'на', 'небо', '.']",10,0
слух,"Его слух , наверное , еще не восстановился полностью .","['его', 'слух', ',', 'наверное', ',', 'ещё', 'не', 'восстановиться', 'полностью', '.']",1,1
слух,Его усиленный акустической системой слух пронзил резкий звон разжавшихся пружин .,"['его', 'усиленный', 'акустический', 'система', 'слух', 'пронзить', 'резкий', 'звон', 'разжавшийся', 'пружина', '.']",1,1
слух,"А ты не боишься , что эта лавина слухов будет расти и шириться ?","['а', 'ты', 'не', 'бояться', ',', 'что', 'этот', 'лавина', 'слух', 'быть', 'расти', 'и', 'шириться', '?']",1,0
слух,"Так это не сторонники майдана слухи распускают , это все та же дезинформация со стороны России .","['так', 'это', 'не', 'сторонник', 'майдан', 'слух', 'распускать', ',', 'это', 'всё', 'тот', 'же', 'дезинформация', 'со', 'сторона', 'Россия', '.']",1,0
слух,И этот слух вскоре подтвердился официально .,"['и', 'этот', 'слух', 'вскоре', 'подтвердиться', 'официально', '.']",1,0
слух,"Слухам о ваших пикантных отношениях с моей племянницей можно положить конец , только объявив о помолвке .","['слух', 'о', 'ваш', 'пикантный', 'отношение', 'с', 'мой', 'племянница', 'можно', 'положить', 'конец', ',', 'только', 'объявить', 'о', 'помолвка', '.']",5,1
слух,"Слухи о кончине президента не подтвердились , и Муртазина обвинили в клевете , а_также нарушении неприкосновенности частной жизни .","['слух', 'о', 'кончина', 'президент', 'не', 'подтвердиться', ',', 'и', 'Муртазин', 'обвинить', 'в', 'клевета', ',', 'а_также', 'нарушение', 'неприкосновенность', 'частный', 'жизнь', '.']",5,1
слух,"Слух мужчины резко обостряется , когда ему говорят какой он умный и талантливый и снижается до нуля , когда обращают внимание на его недостатки .","['слух', 'мужчина', 'резко', 'обостряться', ',', 'когда', 'он', 'говорить', 'какой', 'он', 'умный', 'и', 'талантливый', 'и', 'снижаться', 'до', 'нуль', ',', 'когда', 'обращать', 'внимание', 'на', 'его', 'недостаток', '.']",5,0
слух,"Слухи о расследовании могут просочиться в круг общения вашей родственницы , вероятна возможность возникновения очередного скандала .","['слух', 'о', 'расследование', 'мочь', 'просочиться', 'в', 'круг', 'общение', 'ваш', 'родственница', ',', 'вероятный', 'возможность', 'возникновение', 'очередной', 'скандал', '.']",5,1
слух,Ведь слухи о редких находках распространяются невероятно быстро и широко .,"['ведь', 'слух', 'о', 'редкий', 'находка', 'распространяться', 'невероятно', 'быстро', 'и', 'широко', '.']",5,1
идти,"Это уже идет 6 лет , и думают уже в Москве .","['это', 'уже', 'идти', '6', 'год', ',', 'и', 'думать', 'уже', 'в', 'Москва', '.']",32,0
идти,"Но , к сожалению , идет редко и в одном зале .","['но', ',', 'к', 'сожаление', ',', 'идти', 'редко', 'и', 'в', 'один', 'зал', '.']",32,0
идти,Иду я со стихами крестным ходом .,"['идти', 'я', 'со', 'стих', 'крёстный', 'ход', '.']",32,0
идти,Шли и в ночь на 2 мая .,"['идти', 'и', 'в', 'ночь', 'на', '2', 'май', '.']",32,0
идти,"Идите ко мне — , "" проговорил Путин .","['идти', 'ко', 'я', '—', ',', '""', 'проговорить', 'Путин', '.']",32,0
идти,"Идете вы , допустим , по темной улице .","['идти', 'вы', ',', 'допустить', ',', 'по', 'тёмный', 'улица', '.']",39,1
идти,"Первым идёт вожак походкой чинной , За ним неспешно стая вся идёт ...","['первый', 'идти', 'вожак', 'походка', 'чинный', ',', 'за', 'он', 'неспешно', 'стая', 'весь', 'идти', '...']",39,1
идти,"Идет девушка навстречу , вроде хорошенькая","['идти', 'девушка', 'навстречу', ',', 'вроде', 'хорошенький']",39,1
идти,"И идут они до края земли , куда нам путь держать предстоит .","['и', 'идти', 'он', 'до', 'край', 'земля', ',', 'куда', 'мы', 'путь', 'держать', 'предстоять', '.']",39,1
идти,"мой мотылек , иди ко мне","['мой', 'мотылёк', ',', 'идти', 'ко', 'я']",39,1
кисть,"Мне показалось , что синяк у него на лице начал немного сходить , а вот левая кисть , напротив , опухла ещё сильнее .","['я', 'показаться', ',', 'что', 'синяк', 'у', 'он', 'на', 'лицо', 'начать', 'немного', 'сходить', ',', 'а', 'вот', 'левый', 'кисть', ',', 'напротив', ',', 'опухнуть', 'ещё', 'сильно', '.']",5,0
кисть,Затем посетителям представят портрет Шаляпина кисти Бориса Григорьева .,"['затем', 'посетитель', 'представить', 'портрет', 'Шаляпин', 'кисть', 'Борис', 'Григорьев', '.']",5,1
