word,context,lemmas,predict_sense_id_adagram,adagram_true
звезда,"Перед глазами вспыхнули звезды , а тело скорчилось от боли .","['перед', 'глаз', 'вспыхнуть', 'звезда', ',', 'а', 'тело', 'скорчиться', 'от', 'боль', '.']",4,1
звезда,"Света звезд и яркой в это время года луны вполне было достаточно , чтобы различать во мраке белые камни дорожки .","['свет', 'звезда', 'и', 'яркий', 'в', 'этот', 'время', 'год', 'луна', 'вполне', 'быть', 'достаточный', ',', 'чтобы', 'различать', 'во', 'мрак', 'белый', 'камень', 'дорожка', '.']",4,0
звезда,"Я долго всматривалась в небо , стараясь увидеть утопленные в нем звезды .","['я', 'долго', 'всматриваться', 'в', 'небо', ',', 'стараться', 'увидеть', 'утопленный', 'в', 'он', 'звезда', '.']",4,0
звезда,"Вершины гор , освещенные первыми звездами , были еще сиреневыми .","['вершина', 'гора', ',', 'освещённый', 'первый', 'звезда', ',', 'быть', 'ещё', 'сиреневый', '.']",4,0
звезда,""" Это звезда , с неба упавшая — , "" кратко объяснил свою необычную задумку автор Владимир Белоконь .","['""', 'это', 'звезда', ',', 'с', 'небо', 'упавший', '—', ',', '""', 'кратко', 'объяснить', 'свой', 'необычный', 'задумка', 'автор', 'Владимир', 'Белоконь', '.']",4,0
слух,"Его слух , наверное , еще не восстановился полностью .","['его', 'слух', ',', 'наверное', ',', 'ещё', 'не', 'восстановиться', 'полностью', '.']",3,1
слух,"Включила , послушала — и даже гитара на слух настроена точно в тон с песней в записи .","['включить', ',', 'послушать', '—', 'и', 'даже', 'гитара', 'на', 'слух', 'настроенный', 'точно', 'в', 'тон', 'с', 'песня', 'в', 'запись', '.']",3,1
слух,Его усиленный акустической системой слух пронзил резкий звон разжавшихся пружин .,"['его', 'усиленный', 'акустический', 'система', 'слух', 'пронзить', 'резкий', 'звон', 'разжавшийся', 'пружина', '.']",3,1
слух,"Каждый прислушивался к нарастающему вою снарядов с тем особым напряжением , которое наделяет слух крайней остротой .","['каждый', 'прислушиваться', 'к', 'нарастающий', 'вой', 'снаряд', 'с', 'тот', 'особый', 'напряжение', ',', 'который', 'наделять', 'слух', 'крайний', 'острота', '.']",3,1
слух,"способствует заживлению и восстановлению барабанных перепонок , помогает улучшить слух , потерянный с возрастом или после перенесенного заболевания , при условии регулярной обработки слуховых проходов ;","['способствовать', 'заживление', 'и', 'восстановление', 'барабанный', 'перепонка', ',', 'помогать', 'улучшить', 'слух', ',', 'потерянный', 'с', 'возраст', 'или', 'после', 'перенесённый', 'заболевание', ',', 'при', 'условие', 'регулярный', 'обработка', 'слуховой', 'проход', ';']",3,1
слух,"Слухам о ваших пикантных отношениях с моей племянницей можно положить конец , только объявив о помолвке .","['слух', 'о', 'ваш', 'пикантный', 'отношение', 'с', 'мой', 'племянница', 'можно', 'положить', 'конец', ',', 'только', 'объявить', 'о', 'помолвка', '.']",2,1
слух,"Что в этой комнате всё чаще ходят слухи ,","['что', 'в', 'этот', 'комната', 'всё', 'часто', 'ходить', 'слух', ',']",2,1
